collationid,typename,collation,characterset
131,MariaDB,ucs2_romanian_ci,ucs2
132,MariaDB,ucs2_slovenian_ci,ucs2
133,MariaDB,ucs2_polish_ci,ucs2
134,MariaDB,ucs2_estonian_ci,ucs2
135,MariaDB,ucs2_spanish_ci,ucs2
136,MariaDB,ucs2_swedish_ci,ucs2
137,MariaDB,ucs2_turkish_ci,ucs2
138,MariaDB,ucs2_czech_ci,ucs2
139,MariaDB,ucs2_danish_ci,ucs2
140,MariaDB,ucs2_lithuanian_ci,ucs2
141,MariaDB,ucs2_slovak_ci,ucs2
142,MariaDB,ucs2_spanish2_ci,ucs2
143,MariaDB,ucs2_roman_ci,ucs2
144,MariaDB,ucs2_persian_ci,ucs2
145,MariaDB,ucs2_esperanto_ci,ucs2
146,MariaDB,ucs2_hungarian_ci,ucs2
147,MariaDB,ucs2_sinhala_ci,ucs2
148,MariaDB,ucs2_german2_ci,ucs2
149,MariaDB,ucs2_croatian_mysql561_ci,ucs2
150,MariaDB,ucs2_unicode_520_ci,ucs2
151,MariaDB,ucs2_vietnamese_ci,ucs2
159,MariaDB,ucs2_general_mysql500_ci,ucs2
640,MariaDB,ucs2_croatian_ci,ucs2
641,MariaDB,ucs2_myanmar_ci,ucs2
642,MariaDB,ucs2_thai_520_w2,ucs2
1059,MariaDB,ucs2_general_nopad_ci,ucs2
1114,MariaDB,ucs2_nopad_bin,ucs2
1152,MariaDB,ucs2_unicode_nopad_ci,ucs2
1174,MariaDB,ucs2_unicode_520_nopad_ci,ucs2
36,MariaDB,cp866_general_ci,cp866
68,MariaDB,cp866_bin,cp866
1060,MariaDB,cp866_general_nopad_ci,cp866
1092,MariaDB,cp866_nopad_bin,cp866
37,MariaDB,keybcs2_general_ci,keybcs2
73,MariaDB,keybcs2_bin,keybcs2
1061,MariaDB,keybcs2_general_nopad_ci,keybcs2
1097,MariaDB,keybcs2_nopad_bin,keybcs2
38,MariaDB,macce_general_ci,macce
43,MariaDB,macce_bin,macce
1062,MariaDB,macce_general_nopad_ci,macce
1067,MariaDB,macce_nopad_bin,macce
39,MariaDB,macroman_general_ci,macroman
53,MariaDB,macroman_bin,macroman
1063,MariaDB,macroman_general_nopad_ci,macroman
1077,MariaDB,macroman_nopad_bin,macroman
40,MariaDB,cp852_general_ci,cp852
81,MariaDB,cp852_bin,cp852
1064,MariaDB,cp852_general_nopad_ci,cp852
1105,MariaDB,cp852_nopad_bin,cp852
20,MariaDB,latin7_estonian_cs,latin7
41,MariaDB,latin7_general_ci,latin7
42,MariaDB,latin7_general_cs,latin7
79,MariaDB,latin7_bin,latin7
1065,MariaDB,latin7_general_nopad_ci,latin7
1103,MariaDB,latin7_nopad_bin,latin7
45,MariaDB,utf8mb4_general_ci,utf8mb4
46,MariaDB,utf8mb4_bin,utf8mb4
224,MariaDB,utf8mb4_unicode_ci,utf8mb4
225,MariaDB,utf8mb4_icelandic_ci,utf8mb4
226,MariaDB,utf8mb4_latvian_ci,utf8mb4
227,MariaDB,utf8mb4_romanian_ci,utf8mb4
228,MariaDB,utf8mb4_slovenian_ci,utf8mb4
229,MariaDB,utf8mb4_polish_ci,utf8mb4
230,MariaDB,utf8mb4_estonian_ci,utf8mb4
231,MariaDB,utf8mb4_spanish_ci,utf8mb4
232,MariaDB,utf8mb4_swedish_ci,utf8mb4
233,MariaDB,utf8mb4_turkish_ci,utf8mb4
234,MariaDB,utf8mb4_czech_ci,utf8mb4
235,MariaDB,utf8mb4_danish_ci,utf8mb4
236,MariaDB,utf8mb4_lithuanian_ci,utf8mb4
237,MariaDB,utf8mb4_slovak_ci,utf8mb4
238,MariaDB,utf8mb4_spanish2_ci,utf8mb4
239,MariaDB,utf8mb4_roman_ci,utf8mb4
240,MariaDB,utf8mb4_persian_ci,utf8mb4
241,MariaDB,utf8mb4_esperanto_ci,utf8mb4
242,MariaDB,utf8mb4_hungarian_ci,utf8mb4
243,MariaDB,utf8mb4_sinhala_ci,utf8mb4
244,MariaDB,utf8mb4_german2_ci,utf8mb4
245,MariaDB,utf8mb4_croatian_mysql561_ci,utf8mb4
246,MariaDB,utf8mb4_unicode_520_ci,utf8mb4
247,MariaDB,utf8mb4_vietnamese_ci,utf8mb4
608,MariaDB,utf8mb4_croatian_ci,utf8mb4
609,MariaDB,utf8mb4_myanmar_ci,utf8mb4
610,MariaDB,utf8mb4_thai_520_w2,utf8mb4
1069,MariaDB,utf8mb4_general_nopad_ci,utf8mb4
1070,MariaDB,utf8mb4_nopad_bin,utf8mb4
1248,MariaDB,utf8mb4_unicode_nopad_ci,utf8mb4
1270,MariaDB,utf8mb4_unicode_520_nopad_ci,utf8mb4
14,MariaDB,cp1251_bulgarian_ci,cp1251
23,MariaDB,cp1251_ukrainian_ci,cp1251
50,MariaDB,cp1251_bin,cp1251
51,MariaDB,cp1251_general_ci,cp1251
52,MariaDB,cp1251_general_cs,cp1251
1074,MariaDB,cp1251_nopad_bin,cp1251
1075,MariaDB,cp1251_general_nopad_ci,cp1251
54,MariaDB,utf16_general_ci,utf16
55,MariaDB,utf16_bin,utf16
101,MariaDB,utf16_unicode_ci,utf16
102,MariaDB,utf16_icelandic_ci,utf16
103,MariaDB,utf16_latvian_ci,utf16
104,MariaDB,utf16_romanian_ci,utf16
